coin	text
coin1	<a href="http://numismatics.org/ocre/id/ric.1(2).aug.164A"><i>aureus</i> of Augustus, 15 BCE-13 BCE, obverse</a>  (RIC 1.2, Augustus 164A; Münzkabinett, Berlin, 18200244)
coin2	<a href="http://numismatics.org/ocre/id/ric.1(2).gai.7"><i>aureus</i> of Caligula, reverse</a> (RIC 1.2, Gaius, 7; British Museum 1867.0101.624)
coin3	<a href="http://numismatics.org/ocre/id/ric.2_1(2).tit.388"><i>denarius</i> of Titus, 80 CE, obverse</a> (RIC 2.1, Titus 388; American Numismatic Society 1944.100.41658)
coin5	<a href="http://numismatics.org/ocre/id/ric.1(2).cw.12">*denarius*, civil wars of 69 CE, reverse</a> (RIC 1.2, civil wars 12; Münzkabinett, Berlin 18228611)
coin6	uncertain denomination, Constantine, 327 CE, mint of Siscia, reverse](http://numismatics.org/ocre/id/ric.7.sis.213) (RIC 7, Siscia 213; British Musuem 1950.1006.1458
coin7	<a href="http://numismatics.org/ocre/id/ric.1(2).aug.209">*aureus* of Augustus, 2 BCE - 4 CE, obverse</a> (RIC 1.2, Augustus 209; British Museum 1920.0325.5)
coin8	<a href="http://numismatics.org/ocre/id/ric.1(2).aug.209">*aureus* of Augustus, 2 BCE - 4 CE, reverse</a> (RIC 1.2, Augustus 209; British Museum 1920.0325.5)
