id,label,legend,url
coin1,1. aureus of Augustus (15 BCE-13 BCE): obverse,AVGVSTVS DIVI F(ILIVS),https://neelsmith.github.io/latin101/imgs/ric1_2_aug.164a.png
coin2,2. aureus of Caligula: reverse,AGRIPPINA MAT(ER) G(AII) CAES(ARIS) AVG(VSTI) GERM(ANICI),https://neelsmith.github.io/latin101/imgs/ric-1_2-gai-7.png
coin3,3. denarius of Titus (80 CE): obverse,IVLIA AVGVSTA TITI AVGVSTI F(ILIA),https://neelsmith.github.io/latin101/imgs/ric2_1_2_tit-388.png
coin5,4. denarius from the civil wars of 69 CE: reverse,VICTORIA P(OPVLI) R(OMANI),https://neelsmith.github.io/latin101/imgs/ric1_2_cw_12.png
coin6,5. uncertain denomination of Constantine (327 CE) from the mint of Siscia: reverse ,VICTORIA CAESARVM – SIS(CIA)	,https://neelsmith.github.io/latin101/imgs/ric7_sis_213.png
coin7,6. aureus of Augustus (2 BCE - 4 CE): obverse,CAESAR AVGVSTVS DIVI F(ILIVS) PATER PATRIAE,https://neelsmith.github.io/latin101/imgs/ric1_2_aug.209.png
coin8,7.aureus of Augustus (2 BCE - 4 CE): reverse,G(AIVS) L(VCIVS) CAESARES AVGVSTI FILII CO(N)S(VLES) DESIG(NATI) PRINC(IPES) IVVENT(VTIS),https://neelsmith.github.io/latin101/imgs/ric_1_2_aug_209_rev.png
